hhid,province,district,subdistrict,village,ea,pmt,community,hybrid,elite,poorest10,daymeeting,treated,rank,consumption,consumption_ae,food,nonfood,nonstaple,diversity,pcfloor,tfloor,twall,toilet,water,lighting,troof,fcook,house,credit,hhsize,hhsize2,hhsize_ae,hhage,hhage2,hhmale,hhmarried,hhmalemarr,hhsector1,hhsector2,hhsector3,formal,informal,hheduc2,hheduc3,hheduc4,age04,eschild,jschild,sschild,higheduc2,higheduc3,higheduc4,depratio,ac,computer,radio,tv,dvd,satellite,gas,refrigerator,bicycle,motorcycle,auto,hp,jewelry,chicken,cow
"469804",73,11,148,7,469,1,0,0,0,0,0,0,,543.1984,,,,.8269962,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"469852",73,11,148,7,469,1,0,0,0,0,0,0,,983.6092,1312.988,132.15,.8656479,.8368016,12,12.83333,1,0,1,1,1,0,1,1,0,6,36,4.494827,44,1936,1,1,1,1,0,0,0,1,1,0,0,2,0,1,0,0,1,0,.5,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0
"470296",73,11,148,31,470,0,0,1,0,0,1,0,.6470588,343.8512,436.3463,41.5,.8793083,.7018072,9,8.75,1,0,0,0,0,0,0,1,0,4,16,3.152094,45,2025,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"470380",73,11,148,31,470,0,0,1,0,0,1,0,1,919.4861,1227.393,67.2,.9269157,.7576885,11,17.5,0,1,1,1,0,0,1,1,0,6,36,4.494827,28,784,1,1,1,0,0,1,1,0,1,0,0,2,0,0,0,0,0,1,.5,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0
"470396",73,11,148,31,470,0,0,1,0,0,1,0,.4411765,184.4929,234.8687,27.85,.8490456,.5170556,7,16.8,1,0,0,1,0,0,0,1,0,5,25,3.927575,50,2500,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"470438",73,11,148,31,470,0,0,1,0,0,1,0,.9117647,271.006,343.9059,45.375,.8325682,.7134987,8,18,1,1,0,1,0,0,0,1,0,4,16,3.152094,31,961,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"470676",73,11,148,31,470,0,0,1,0,0,1,0,.7647059,267.585,374.2497,37.21429,.8609254,.6775432,9,10,1,1,0,0,0,0,0,1,0,7,49,5.004934,39,1521,1,1,1,1,0,0,0,1,0,0,0,2,2,0,0,1,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"470711",73,11,148,31,470,0,0,1,0,0,1,0,.8823529,904.3244,1113.354,125.05,.86172,.7616953,11,33.75,1,0,0,1,0,0,0,1,0,4,16,3.24901,24,576,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,.3333333,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1
"470747",73,11,148,31,470,0,0,1,0,0,1,1,.2647059,320.3776,436.3999,43.57143,.8639997,.6754099,9,12.85714,1,0,0,0,0,0,0,1,0,7,49,5.138963,53,2809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
"470932",73,11,148,31,470,0,0,1,0,0,1,1,.1764706,365.4095,482.4637,20.1,.9449932,.7263682,10,18.4,1,0,0,1,0,0,0,0,0,5,25,3.786912,41,1681,1,1,1,0,0,1,0,1,1,0,0,1,2,0,0,1,0,0,1.5,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0
